date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:07:14	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	https://iamfutures.github.io/robots.txt		(from )
01:07:14	49823/49823	---M-Z	200	added ('OK')	text/html	etag:W/%22631a1d8f-c29f%22	https://iamfutures.github.io/	C:/Benim%20Web%20Sitem/atatv44/iamfutures.github.io/index.html	(from )
01:07:15	117269/117269	---MC-	200	added ('OK')	image/jpeg	etag:W/%2264d04db8aa44456f47d2f01514f6029b%22	https://i.hizliresim.com/6rx8ogh.jpg	C:/Benim%20Web%20Sitem/atatv44/i.hizliresim.com/6rx8ogh.jpg	(from https://iamfutures.github.io/)
01:07:15	3017/3017	---M-Z	200	added ('OK')	text/css	etag:W/%22631a1d8f-bc9%22	https://iamfutures.github.io/rawline.css	C:/Benim%20Web%20Sitem/atatv44/iamfutures.github.io/rawline.css	(from https://iamfutures.github.io/)
01:07:15	10566/10566	---M--	200	added ('OK')	application/octet-stream	etag:%22631a1d8f-2946%22	https://iamfutures.github.io/css2	C:/Benim%20Web%20Sitem/atatv44/iamfutures.github.io/css2	(from https://iamfutures.github.io/)
01:07:15	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	https://iamfutures.github.io/css2(1)	C:/Benim%20Web%20Sitem/atatv44/iamfutures.github.io/css2(1)	(from https://iamfutures.github.io/)
01:07:16	82020/82020	---M-Z	200	added ('OK')	text/css	etag:W/%22631a1d8f-14064%22	https://iamfutures.github.io/all.min.css	C:/Benim%20Web%20Sitem/atatv44/iamfutures.github.io/all.min.css	(from https://iamfutures.github.io/)
01:07:16	808/808	---M-Z	200	added ('OK')	text/html	etag:W/%22631a1d8f-328%22	https://iamfutures.github.io/reset.html	C:/Benim%20Web%20Sitem/atatv44/iamfutures.github.io/reset.html	(from https://iamfutures.github.io/)
01:07:16	15522/15522	---M-Z	200	added ('OK')	text/css	etag:W/%22631a1d8f-3ca2%22	https://iamfutures.github.io/index.css	C:/Benim%20Web%20Sitem/atatv44/iamfutures.github.io/index.css	(from https://iamfutures.github.io/)
01:07:16	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263053230-247b%22	https://iamfutures.github.io/'https://i.hizliresim.com/bbebzi0.jpg?width=995&height=559?t=1649792743'	C:/Benim%20Web%20Sitem/atatv44/iamfutures.github.io/'https_/i.hizliresim.com/bbebzi0eb89.jpg	(from https://iamfutures.github.io/)
01:07:16	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263053230-247b%22	https://iamfutures.github.io/'https://i.hizliresim.com/bbebzi0.jpg?t=1618944453'	C:/Benim%20Web%20Sitem/atatv44/iamfutures.github.io/'https_/i.hizliresim.com/bbebzi07860.jpg	(from https://iamfutures.github.io/)
01:07:17	117269/117269	---MC-	200	added ('OK')	image/jpeg	etag:W/%2264d04db8aa44456f47d2f01514f6029b%22	https://i.hizliresim.com/6rx8ogh.jpg?t=1618944453	C:/Benim%20Web%20Sitem/atatv44/i.hizliresim.com/6rx8ogh6462.jpg	(from https://iamfutures.github.io/)
01:07:17	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	https://iamfutures.github.io/s/19714/rawline-400.html	C:/Benim%20Web%20Sitem/atatv44/iamfutures.github.io/s/19714/rawline-400.html	(from https://iamfutures.github.io/rawline.css)
01:07:17	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	https://iamfutures.github.io/s/19714/rawline-400i.html	C:/Benim%20Web%20Sitem/atatv44/iamfutures.github.io/s/19714/rawline-400i.html	(from https://iamfutures.github.io/rawline.css)
01:07:17	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	https://iamfutures.github.io/s/19714/rawline-100.html	C:/Benim%20Web%20Sitem/atatv44/iamfutures.github.io/s/19714/rawline-100.html	(from https://iamfutures.github.io/rawline.css)
01:07:18	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	https://iamfutures.github.io/s/19714/rawline-100i.html	C:/Benim%20Web%20Sitem/atatv44/iamfutures.github.io/s/19714/rawline-100i.html	(from https://iamfutures.github.io/rawline.css)
01:07:18	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	https://iamfutures.github.io/s/19714/rawline-200.html	C:/Benim%20Web%20Sitem/atatv44/iamfutures.github.io/s/19714/rawline-200.html	(from https://iamfutures.github.io/rawline.css)
01:07:18	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	https://iamfutures.github.io/s/19714/rawline-200i.html	C:/Benim%20Web%20Sitem/atatv44/iamfutures.github.io/s/19714/rawline-200i.html	(from https://iamfutures.github.io/rawline.css)
